user,city,category,post,time,link
5177100000,Chicago,w4m,Glenwood ave arts fest - w4m,2015-08-17T13:00:00,/chc/mis/5177113085.html
5176800000,Chicago,w4m,Rick we met this weekend - w4m,2015-08-17T10:49:00,/chc/mis/5176836579.html
5176800000,Chicago,w4m,Chad where are you sexy - w4m,2015-08-17T10:32:00,/chc/mis/5176800533.html
5176500000,Chicago,w4m,Lucia and Roundtripper - an unfinished conversation - w4m,2015-08-17T05:54:00,/chc/mis/5176450459.html
5176400000,Chicago,w4m,Thank you. - w4m,2015-08-17T01:22:00,/nwc/mis/5176383935.html
5176300000,Chicago,w4m,A fool - w4m,2015-08-16T23:15:00,/sox/mis/5176316581.html
5176200000,Chicago,w4m,; grapes beneath my feet - w4m,2015-08-16T20:55:00,/chc/mis/5176185447.html
5176200000,Chicago,w4m,Saw you in Jewel tonight/Sun. Aug 16/Randall/64 - w4m,2015-08-16T20:46:00,/wcl/mis/5176183386.html
5176100000,Chicago,w4m,"Park West long-haired, bespectacled, cutie bartender - w4m",2015-08-16T19:40:00,/chc/mis/5176108012.html
5175900000,Chicago,w4m,To Rorshach from Skittles - w4m,2015-08-16T16:43:00,/chc/mis/5175884043.html
5175800000,Chicago,w4m,to the owner of the 2 chubby cats - w4m,2015-08-16T16:11:00,/chc/mis/5175837885.html
5175600000,Chicago,w4m,Wal-mart-no party - w4m,2015-08-16T13:56:00,/sox/mis/5175631245.html
5175600000,Chicago,w4m,A few weeks ago at Mariano's - w4m,2015-08-16T13:45:00,/chc/mis/5175614071.html
5175600000,Chicago,w4m,A few weeks ago at Mariano's - w4m,2015-08-16T13:36:00,/wcl/mis/5175599922.html
5175600000,Chicago,w4m,addison/central hospital - w4m,2015-08-16T13:28:00,/chc/mis/5175585750.html
5175200000,Chicago,w4m,you're lovely. i hope you find happiness - w4m,2015-08-16T09:57:00,/wcl/mis/5175227121.html
5175100000,Chicago,w4m,awaken - w4m,2015-08-16T08:14:00,/sox/mis/5175141285.html
5174900000,Chicago,w4m,I miss you A - w4m,2015-08-15T23:15:00,/chc/mis/5174919913.html
5174700000,Chicago,w4m,Saw you on Grand avenue (you wore a blue shirt) - w4m,2015-08-15T19:36:00,/chc/mis/5174742291.html
5174700000,Chicago,w4m,Damen Bus heading North- 8/14 - w4m,2015-08-15T18:26:00,/chc/mis/5174666133.html
5174700000,Chicago,w4m,RA sushi last night - w4m,2015-08-15T18:25:00,/chc/mis/5174664990.html
5174400000,Chicago,w4m,Montrose Dog Beach today - each alone with our dogs :) - w4m,2015-08-15T15:45:00,/chc/mis/5174439539.html
5174400000,Chicago,m4w,re: just a thought - w4m - m4w,2015-08-15T14:58:00,/chc/mis/5174372252.html
5173700000,Chicago,w4m,You work at my gym - w4m,2015-08-15T08:03:00,/nwc/mis/5173669790.html
5173500000,Chicago,w4m,The Guess Who - w4m,2015-08-15T02:34:00,/nwc/mis/5173512968.html
5173500000,Chicago,w4m,G.M. - the older coworker I can't stop thinking about - w4m,2015-08-15T01:51:00,/chc/mis/5173509698.html
5173500000,Chicago,w4m,Trucker from Tenn - w4m,2015-08-15T00:20:00,/wcl/mis/5173462021.html
5163600000,Chicago,w4m,Saying Goodbye - w4m,2015-08-14T21:18:00,/sox/mis/5163619181.html
5173100000,Chicago,w4m,You bought me coffee this morning - w4m,2015-08-14T18:21:00,/nwc/mis/5173126934.html
5173100000,Chicago,w4m,Cute Guy at Trader Joe's Parking Lot - w4m,2015-08-14T17:50:00,/chc/mis/5173084148.html
5173100000,Chicago,w4m,You caught my attention - w4m,2015-08-14T17:28:00,/nwi/mis/5173053508.html
5171900000,Chicago,w4m,SAN to ORD on United Aug 9th. - w4m,2015-08-14T00:53:00,/chc/mis/5171873772.html
5171900000,Chicago,w4m,Black rimmed glasses at Scout - w4m,2015-08-14T00:44:00,/chc/mis/5171869353.html
5171800000,Chicago,w4m,undefinable - w4m,2015-08-14T00:02:00,/chc/mis/5171844154.html
5171800000,Chicago,w4m,for Reed Collins (civil war sausage) - w4m,2015-08-13T23:40:00,/chc/mis/5171833632.html
5171800000,Chicago,w4m,and on a side note from my earlier post - w4m,2015-08-13T23:09:00,/chc/mis/5171794872.html
5171700000,Chicago,w4m,Thinking of me? Miss me? - w4m,2015-08-13T21:46:00,/chc/mis/5171741732.html
5171500000,Chicago,w4m,seems fitting you'd come here too - w4m,2015-08-13T19:03:00,/chc/mis/5171539816.html
5171400000,Chicago,w4m,"you got away, again - w4m",2015-08-13T17:33:00,/chc/mis/5171436766.html
5171100000,Chicago,w4m,US Air - w4m,2015-08-13T14:33:00,/chc/mis/5171121415.html
5170700000,Chicago,w4m,It's over - w4m,2015-08-13T10:47:00,/nwi/mis/5170692804.html
5170600000,Chicago,w4m,Office in aurora - w4m,2015-08-13T10:10:00,/wcl/mis/5170596540.html
5170400000,Chicago,w4m,Best buy oswego monday - w4m,2015-08-13T07:57:00,/wcl/mis/5170437781.html
5170400000,Chicago,w4m,David - w4m,2015-08-13T07:43:00,/nch/mis/5170421499.html
5170300000,Chicago,w4m,open letter to david roback - w4m,2015-08-13T01:34:00,/sox/mis/5170285772.html
5170300000,Chicago,w4m,Re: I don't kiss - w4m,2015-08-13T01:13:00,/chc/mis/5170272027.html
5170200000,Chicago,w4m,Red Line Addison - w4m,2015-08-13T00:08:00,/chc/mis/5170245628.html
5170200000,Chicago,w4m,Target on division-You held the elevator - w4m,2015-08-12T22:39:00,/chc/mis/5170184151.html
5160600000,Chicago,w4m,I'd like to forget you - w4m,2015-08-12T21:46:00,/chc/mis/5160601926.html
